dataset,dataset_shape,javascript_runtime,javascript_score,model,params,python_runtime,python_score
GAMETES_Epistasis_2-Way_1000atts_0.4H_EDM-1_EDM-1_1,"(1000, 1000)",811.65824,0.796,DecisionTreeClassifier,"{""max_depth"":4}",32.91058540344238,0.796
GAMETES_Epistasis_2-Way_20atts_0.1H_EDM-1_1,"(1000, 20)",117.091774,0.784,DecisionTreeClassifier,"{""max_depth"":4}",1.8897056579589844,0.784
GAMETES_Epistasis_2-Way_20atts_0.4H_EDM-1_1,"(1000, 20)",114.331858,0.796,DecisionTreeClassifier,"{""max_depth"":4}",1.8608570098876953,0.792
GAMETES_Epistasis_3-Way_20atts_0.2H_EDM-1_1,"(1000, 20)",125.224637,0.804,DecisionTreeClassifier,"{""max_depth"":4}",1.8086433410644531,0.804
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_50_EDM-2_001,"(1000, 20)",89.779527,0.792,DecisionTreeClassifier,"{""max_depth"":4}",1.9674301147460938,0.792
GAMETES_Heterogeneity_20atts_1600_Het_0.4_0.2_75_EDM-2_001,"(1000, 20)",122.95189,0.792,DecisionTreeClassifier,"{""max_depth"":4}",1.8622875213623047,0.792
Hill_Valley_with_noise,"(1000, 100)",2.878491,0.496,DecisionTreeClassifier,"{""max_depth"":4}",73.50730895996094,0.48
Hill_Valley_without_noise,"(1000, 100)",201.861438,0.512,DecisionTreeClassifier,"{""max_depth"":4}",26.951313018798828,0.512
adult,"(1000, 14)",125.266069,0.828,DecisionTreeClassifier,"{""max_depth"":4}",1.48773193359375,0.828
agaricus-lepiota,"(1000, 22)",113.57437,1.0,DecisionTreeClassifier,"{""max_depth"":4}",0.9961128234863281,1.0
allbp,"(1000, 29)",238.533449,0.944,DecisionTreeClassifier,"{""max_depth"":4}",2.386331558227539,0.944
allhyper,"(1000, 29)",250.3907,0.96,DecisionTreeClassifier,"{""max_depth"":4}",1.7666816711425781,0.956
allhypo,"(1000, 29)",181.120821,0.956,DecisionTreeClassifier,"{""max_depth"":4}",1.6262531280517578,0.956
allrep,"(1000, 29)",216.083258,0.988,DecisionTreeClassifier,"{""max_depth"":4}",0.9665489196777344,0.988
analcatdata_aids,"(50, 4)",10.127482,0.8461538461538461,DecisionTreeClassifier,"{""max_depth"":4}",0.7758140563964844,0.8461538461538461
analcatdata_asbestos,"(83, 3)",10.093506,0.8095238095238095,DecisionTreeClassifier,"{""max_depth"":4}",0.7834434509277344,0.8095238095238095
analcatdata_authorship,"(841, 70)",158.090496,0.933649289099526,DecisionTreeClassifier,"{""max_depth"":4}",5.202054977416992,0.933649289099526
analcatdata_bankruptcy,"(50, 6)",7.983206,0.7692307692307693,DecisionTreeClassifier,"{""max_depth"":4}",0.78582763671875,0.6923076923076923
analcatdata_boxing1,"(120, 3)",9.152171,0.7,DecisionTreeClassifier,"{""max_depth"":4}",0.7605552673339844,0.8333333333333334
analcatdata_boxing2,"(132, 3)",5.330539,0.7575757575757576,DecisionTreeClassifier,"{""max_depth"":4}",0.7302761077880859,0.7575757575757576
analcatdata_creditscore,"(100, 6)",18.746055,0.96,DecisionTreeClassifier,"{""max_depth"":4}",0.7364749908447266,0.96
analcatdata_cyyoung8092,"(97, 10)",22.972275,0.68,DecisionTreeClassifier,"{""max_depth"":4}",0.8485317230224609,0.76
analcatdata_cyyoung9302,"(92, 10)",34.015058,0.6521739130434783,DecisionTreeClassifier,"{""max_depth"":4}",0.8084774017333984,0.7391304347826086
analcatdata_dmft,"(797, 4)",29.704836,0.215,DecisionTreeClassifier,"{""max_depth"":4}",0.7162094116210938,0.215
analcatdata_fraud,"(42, 11)",9.086192,0.5454545454545454,DecisionTreeClassifier,"{""max_depth"":4}",0.6585121154785156,0.5454545454545454
analcatdata_germangss,"(400, 5)",20.553556,0.37,DecisionTreeClassifier,"{""max_depth"":4}",0.6330013275146484,0.37
analcatdata_happiness,"(60, 3)",4.862061,0.3333333333333333,DecisionTreeClassifier,"{""max_depth"":4}",0.7138252258300781,0.4
analcatdata_japansolvent,"(52, 9)",17.649088,0.5384615384615384,DecisionTreeClassifier,"{""max_depth"":4}",0.7939338684082031,0.5384615384615384
analcatdata_lawsuit,"(264, 4)",37.834003,0.9848484848484849,DecisionTreeClassifier,"{""max_depth"":4}",0.8814334869384766,0.9848484848484849
ann-thyroid,"(1000, 21)",116.040684,0.992,DecisionTreeClassifier,"{""max_depth"":4}",0.9410381317138672,0.988
appendicitis,"(106, 7)",27.845352,0.8148148148148148,DecisionTreeClassifier,"{""max_depth"":4}",0.9007453918457031,0.8148148148148148
australian,"(690, 14)",96.644208,0.8497109826589595,DecisionTreeClassifier,"{""max_depth"":4}",1.5764236450195312,0.8497109826589595
auto,"(202, 25)",59.658199,0.5686274509803921,DecisionTreeClassifier,"{""max_depth"":4}",1.46484375,0.5294117647058824
backache,"(180, 32)",40.113,0.8,DecisionTreeClassifier,"{""max_depth"":4}",0.8165836334228516,0.8
balance-scale,"(625, 4)",26.228234,0.7579617834394905,DecisionTreeClassifier,"{""max_depth"":4}",0.6284713745117188,0.7579617834394905
banana,"(1000, 2)",49.76497,0.8,DecisionTreeClassifier,"{""max_depth"":4}",1.0845661163330078,0.8
biomed,"(209, 8)",35.399387,0.9245283018867925,DecisionTreeClassifier,"{""max_depth"":4}",0.9934902191162109,0.9245283018867925
breast,"(699, 10)",71.852076,0.9142857142857143,DecisionTreeClassifier,"{""max_depth"":4}",1.0042190551757812,0.9142857142857143
breast-cancer,"(286, 9)",21.836923,0.7083333333333334,DecisionTreeClassifier,"{""max_depth"":4}",0.9229183197021484,0.7083333333333334
breast-cancer-wisconsin,"(569, 30)",189.001482,0.9230769230769231,DecisionTreeClassifier,"{""max_depth"":4}",5.856037139892578,0.8881118881118881
breast-w,"(699, 9)",27.010255,0.9371428571428572,DecisionTreeClassifier,"{""max_depth"":4}",1.149892807006836,0.9371428571428572
buggyCrx,"(690, 15)",58.757694,0.8265895953757225,DecisionTreeClassifier,"{""max_depth"":4}",1.3070106506347656,0.8323699421965318
bupa,"(345, 6)",28.448978,0.6666666666666666,DecisionTreeClassifier,"{""max_depth"":4}",0.8535385131835938,0.6666666666666666
calendarDOW,"(399, 32)",54.109803,0.54,DecisionTreeClassifier,"{""max_depth"":4}",1.0521411895751953,0.54
car,"(1000, 6)",22.07103,0.864,DecisionTreeClassifier,"{""max_depth"":4}",0.8502006530761719,0.864
car-evaluation,"(1000, 21)",61.198447,0.912,DecisionTreeClassifier,"{""max_depth"":4}",1.0123252868652344,0.912
cars,"(392, 8)",38.214761,0.826530612244898,DecisionTreeClassifier,"{""max_depth"":4}",1.2624263763427734,0.826530612244898
cars1,"(392, 7)",36.40129,0.7755102040816326,DecisionTreeClassifier,"{""max_depth"":4}",1.0695457458496094,0.7755102040816326
chess,"(1000, 36)",139.381454,0.924,DecisionTreeClassifier,"{""max_depth"":4}",1.512765884399414,0.924
churn,"(1000, 20)",142.076019,0.924,DecisionTreeClassifier,"{""max_depth"":4}",3.930330276489258,0.924
clean1,"(476, 168)",410.912488,1.0,DecisionTreeClassifier,"{""max_depth"":4}",3.8559436798095703,1.0
cleve,"(303, 13)",30.409001,0.7368421052631579,DecisionTreeClassifier,"{""max_depth"":4}",0.8521080017089844,0.7368421052631579
cleveland,"(303, 13)",37.906002,0.631578947368421,DecisionTreeClassifier,"{""max_depth"":4}",0.8265972137451172,0.631578947368421
cleveland-nominal,"(303, 7)",12.280705,0.47368421052631576,DecisionTreeClassifier,"{""max_depth"":4}",0.659942626953125,0.47368421052631576
cloud,"(108, 7)",15.785346,0.4444444444444444,DecisionTreeClassifier,"{""max_depth"":4}",0.8525848388671875,0.5185185185185185
cmc,"(1000, 9)",29.010074,0.496,DecisionTreeClassifier,"{""max_depth"":4}",1.2636184692382812,0.496
coil2000,"(1000, 85)",143.7451,0.948,DecisionTreeClassifier,"{""max_depth"":4}",6.834745407104492,0.948
colic,"(368, 22)",32.71383,0.8478260869565217,DecisionTreeClassifier,"{""max_depth"":4}",1.4727115631103516,0.8478260869565217
collins,"(485, 23)",158.700749,0.8032786885245902,DecisionTreeClassifier,"{""max_depth"":4}",4.432201385498047,0.8032786885245902
confidence,"(72, 3)",14.386385,0.7777777777777778,DecisionTreeClassifier,"{""max_depth"":4}",0.9655952453613281,0.7777777777777778
connect-4,"(1000, 42)",162.28759,0.764,DecisionTreeClassifier,"{""max_depth"":4}",1.6815662384033203,0.764
contraceptive,"(1000, 9)",25.362974,0.496,DecisionTreeClassifier,"{""max_depth"":4}",0.9198188781738281,0.496
corral,"(160, 6)",10.429792,0.95,DecisionTreeClassifier,"{""max_depth"":4}",0.7734298706054688,0.95
credit-a,"(690, 15)",58.932671,0.8323699421965318,DecisionTreeClassifier,"{""max_depth"":4}",1.3701915740966797,0.8323699421965318
credit-g,"(1000, 20)",72.118409,0.724,DecisionTreeClassifier,"{""max_depth"":4}",2.183198928833008,0.724
crx,"(690, 15)",79.396276,0.861271676300578,DecisionTreeClassifier,"{""max_depth"":4}",1.8725395202636719,0.861271676300578
dermatology,"(366, 34)",58.682514,0.8478260869565217,DecisionTreeClassifier,"{""max_depth"":4}",1.3165473937988281,0.8369565217391305
diabetes,"(768, 8)",96.910864,0.7552083333333334,DecisionTreeClassifier,"{""max_depth"":4}",2.009153366088867,0.7552083333333334
dis,"(1000, 29)",159.728331,0.968,DecisionTreeClassifier,"{""max_depth"":4}",1.8715858459472656,0.964
dna,"(1000, 180)",258.686634,0.872,DecisionTreeClassifier,"{""max_depth"":4}",7.2689056396484375,0.872
ecoli,"(327, 7)",29.792128,0.8658536585365854,DecisionTreeClassifier,"{""max_depth"":4}",0.7927417755126953,0.8902439024390244
fars,"(1000, 29)",89.738956,0.956,DecisionTreeClassifier,"{""max_depth"":4}",1.1572837829589844,0.956
flags,"(178, 43)",47.200822,0.4444444444444444,DecisionTreeClassifier,"{""max_depth"":4}",1.16729736328125,0.4666666666666667
flare,"(1000, 10)",47.33271,0.824,DecisionTreeClassifier,"{""max_depth"":4}",1.2612342834472656,0.824
